timestamp,open,high,low,close,volume
2025-03-28,5.939,5.939,5.448,5.575,300.84
2025-03-29,5.527,5.547,5.175,5.177,329.35
2025-03-30,5.246,5.561,5.246,5.476,411.38
2025-03-31,5.292,5.408,5.077,5.27,664.38
2025-04-01,5.326,5.435,5.286,5.435,335.18
2025-04-02,5.366,5.49,5.051,5.117,349.9
2025-04-03,5.143,5.326,4.952,5.089,692.55
2025-04-04,5.011,5.089,4.758,4.91,1287.91
2025-04-05,4.861,4.917,4.8,4.868,430.28
2025-04-06,4.892,4.892,4.263,4.304,840.68
2025-04-07,4.309,4.538,3.82,4.461,939.27
2025-04-08,4.4,4.717,4.328,4.34,612.42
2025-04-09,4.273,4.819,4.199,4.734,1189.15
2025-04-10,4.711,4.714,4.461,4.601,432.39
2025-04-11,4.633,4.852,4.633,4.852,168.15
2025-04-12,4.782,4.971,4.758,4.959,238.49
2025-04-13,4.983,5.194,4.78,4.78,572.92
2025-04-14,4.844,4.99,4.782,4.806,139.91
2025-04-15,4.806,4.806,4.658,4.67,60.3
2025-04-16,4.611,4.716,4.529,4.644,103.63
2025-04-17,4.703,4.716,4.529,4.644,297.45
2025-04-18,4.622,4.795,4.604,4.687,104.24
2025-04-19,4.73,4.941,4.664,4.939,95.39
2025-04-20,4.908,5.076,4.878,5.059,118.97
2025-04-21,5.089,5.232,4.927,4.927,502.5
2025-04-22,4.903,5.272,4.782,5.272,766.68
2025-04-23,5.312,5.387,5.208,5.381,821.14
2025-04-24,5.362,5.592,5.193,5.501,1086.43
2025-04-25,5.518,5.62,5.354,5.539,220.83
2025-04-26,5.575,5.68,5.503,5.638,285.82
2025-04-27,5.645,5.645,5.338,5.429,671.46
2025-04-28,5.366,5.659,5.258,5.592,1750.61
2025-04-29,5.632,5.736,5.392,5.392,408.6
2025-04-30,5.373,5.435,5.199,5.394,535.53
2025-05-01,5.407,5.575,5.366,5.5,137.04
2025-05-02,5.494,5.532,5.4,5.416,131.8
2025-05-03,5.37,5.37,5.154,5.246,679.96
2025-05-04,5.179,5.22,5.077,5.077,394.32
2025-05-05,5.142,5.194,4.977,4.977,73.39
2025-05-06,4.975,4.975,4.598,4.747,573.42
2025-05-07,4.772,4.795,4.664,4.795,329.03
2025-05-08,4.805,5.477,4.758,5.392,1567.57
2025-05-09,5.49,5.854,5.458,5.575,1010.91
2025-05-10,5.592,6.069,5.519,6.069,1487.44
2025-05-11,6.09,6.27,5.79,5.901,1439.73
2025-05-12,5.893,6.146,5.64,5.865,1128.72
2025-05-13,5.79,6.253,5.519,6.159,829.2
2025-05-14,6.142,6.168,5.7,5.729,741.79
2025-05-15,5.777,5.806,5.233,5.233,1896.38
2025-05-16,5.326,5.435,5.258,5.258,624.55
2025-05-17,5.216,5.216,5.027,5.027,1060.83
2025-05-18,5.053,5.277,4.931,5.194,200.72
2025-05-19,5.194,5.194,4.817,5.194,1163.06
2025-05-20,5.221,5.288,5.0,5.167,324.79
2025-05-21,5.147,5.326,5.088,5.312,1614.31
2025-05-22,5.304,5.746,5.304,5.7,692.79
2025-05-23,5.754,5.971,5.339,5.339,1088.77
2025-05-24,5.374,5.435,5.312,5.313,1333.1
2025-05-25,5.306,5.306,5.022,5.255,373.86
2025-05-26,5.312,5.457,5.258,5.326,128.43
2025-05-27,5.258,5.501,5.193,5.366,648.44
2025-05-28,5.354,5.457,5.258,5.408,228.94
2025-05-29,5.435,5.561,5.154,5.154,590.15
2025-05-30,5.128,5.153,4.737,4.737,778.49
2025-05-31,4.681,4.81,4.529,4.78,599.83
2025-06-01,4.716,4.804,4.649,4.804,133.6
2025-06-02,4.739,4.892,4.668,4.892,124.84
2025-06-03,4.911,5.02,4.878,4.927,140.81
2025-06-04,4.991,4.991,4.782,4.787,146.66
2025-06-05,4.837,4.844,4.45,4.5,658.98
2025-06-06,4.539,4.703,4.539,4.593,244.84
2025-06-07,4.703,4.74,4.703,4.74,105.14
2025-06-08,4.753,4.775,4.598,4.751,31.1
2025-06-09,4.668,4.941,4.668,4.941,96.77
2025-06-10,4.965,5.131,4.903,5.131,163.95
2025-06-11,5.143,5.244,4.952,5.016,880.91
2025-06-12,5.041,5.041,4.7,4.7,243.31
2025-06-13,4.681,4.681,4.354,4.495,397.03
2025-06-14,4.505,4.546,4.328,4.452,222.67
2025-06-15,4.495,4.54,4.448,4.54,29.78
2025-06-16,4.53,4.892,4.482,4.681,324.11
2025-06-17,4.668,4.738,4.383,4.421,230.98
2025-06-18,4.505,4.505,4.306,4.437,154.16
2025-06-19,4.495,4.495,4.328,4.384,65.57
2025-06-20,4.378,4.465,4.189,4.252,473.17
2025-06-21,4.307,4.68,4.074,4.159,1529.45
2025-06-22,4.159,4.2,3.7,3.927,2439.11
2025-06-23,3.936,4.328,3.886,4.328,507.36
2025-06-24,4.317,5.131,4.252,4.939,1393.85
2025-06-25,4.927,5.069,4.657,4.851,1001.73
2025-06-26,4.914,5.015,4.657,4.876,256.73
2025-06-27,4.939,5.29,4.813,4.851,1233.33
2025-06-28,4.826,4.939,4.733,4.849,59.06
2025-06-29,4.777,4.999,4.74,4.999,329.43
2025-06-30,4.926,6.13,4.777,4.893,3245.27
2025-07-01,4.936,4.963,4.491,4.491,1456.2
2025-07-02,4.48,4.839,4.425,4.753,8127.1
2025-07-03,4.79,4.849,4.657,4.763,213.44
2025-07-04,4.75,4.75,4.328,4.416,5227.55
2025-07-05,4.427,4.445,4.36,4.416,646.37
2025-07-06,4.427,4.505,4.339,4.465,1201.59
2025-07-07,4.457,4.519,4.424,4.424,87.3
2025-07-08,4.404,4.466,4.355,4.466,37.48
2025-07-09,4.399,4.668,4.3,4.668,4220.97
2025-07-10,4.609,4.888,4.566,4.834,840.8
2025-07-11,4.826,5.076,4.801,4.914,1614.55
2025-07-12,4.851,4.939,4.681,4.79,389.83
2025-07-13,4.814,5.04,4.762,4.924,221.67
2025-07-14,4.97,5.201,4.926,4.93,1457.68
2025-07-15,4.931,5.097,4.801,5.092,583.11
2025-07-16,5.092,5.916,5.038,5.247,3635.52
2025-07-17,5.245,6.278,5.079,5.229,1587.39
2025-07-18,5.338,5.594,5.22,5.234,2135.93
2025-07-19,5.235,6.06,5.148,5.312,1078.61
2025-07-20,5.2,5.829,5.2,5.22,1817.56
2025-07-21,5.233,5.659,5.233,5.44,1194.32
2025-07-22,5.371,5.468,5.152,5.468,2141.66
2025-07-23,5.476,5.658,4.705,4.849,1884.63
2025-07-24,4.849,4.861,4.46,4.633,974.71
2025-07-25,4.61,4.765,4.529,4.765,268.74
2025-07-26,4.766,4.849,4.753,4.849,2062.67
2025-07-27,4.86,4.99,4.777,4.914,3178.13
2025-07-28,4.918,4.971,4.633,4.692,834.37
2025-07-29,4.658,4.766,4.461,4.575,1138.82
2025-07-30,4.518,4.575,4.263,4.482,262.98
2025-07-31,4.505,4.599,4.283,4.328,1400.53
2025-08-01,4.289,4.4,4.122,4.294,1700.98
2025-08-02,4.289,4.552,4.07,4.166,13571.72
2025-08-03,4.071,4.239,4.071,4.239,259.31
2025-08-04,4.239,4.362,4.239,4.362,1222.69
2025-08-05,4.371,4.371,4.183,4.245,11876.46
2025-08-06,4.253,4.295,4.152,4.232,853.93
2025-08-07,4.232,4.371,4.232,4.319,593.38
