timestamp,open,high,low,close,volume
2025-10-16,1.296,1.429,1.25,1.275,43911.14
2025-10-17,1.275,1.3,1.031,1.168,42727.25
2025-10-18,1.17,1.883,1.149,1.162,23448.78
2025-10-19,1.172,1.565,1.123,1.214,20246.07
2025-10-20,1.214,3.924,1.129,1.165,43925.63
2025-10-21,1.153,1.364,1.059,1.114,15254.37
2025-10-22,1.114,1.302,0.94,1.1,27848.74
2025-10-23,0.995,1.14,0.963,1.104,40957.87
2025-10-24,1.121,1.31,1.061,1.148,44121.2
2025-10-25,1.148,1.205,1.092,1.188,19096.45
2025-10-26,1.129,1.223,1.129,1.169,27796.23
2025-10-27,1.167,1.24,1.056,1.082,25624.45
2025-10-28,1.067,1.239,1.04,1.071,22063.51
2025-10-29,1.083,1.166,1.0,1.014,32994.58
2025-10-30,1.028,1.059,0.852,0.926,146347.44
2025-10-31,0.916,1.012,0.916,1.0,27714.45
2025-11-01,1.0,1.026,0.955,0.97,7555.53
2025-11-02,0.967,1.288,0.918,1.235,185377.47
2025-11-03,1.22,1.288,0.85,0.912,175610.08
2025-11-04,0.911,0.996,0.828,0.979,184023.91
2025-11-05,0.973,1.126,0.932,1.074,194155.4
2025-11-06,1.074,1.168,0.984,1.016,85877.37
2025-11-07,1.021,1.165,0.978,1.143,129503.22
2025-11-08,1.142,1.15,0.993,1.043,88700.17
2025-11-09,1.043,1.15,1.0,1.091,97703.39
2025-11-10,1.104,1.171,1.06,1.095,111826.29
2025-11-11,1.086,1.152,1.049,1.085,56900.94
2025-11-12,1.084,1.207,1.077,1.113,174578.12
2025-11-13,1.11,1.151,1.02,1.073,124279.65
2025-11-14,1.077,1.121,0.995,1.103,83682.89
2025-11-15,1.109,1.155,1.109,1.115,81219.92
2025-11-16,1.114,1.28,1.111,1.28,94378.27
2025-11-17,1.282,1.307,1.142,1.188,96344.79
2025-11-18,1.172,1.398,1.17,1.386,106652.03
2025-11-19,1.384,1.4,1.252,1.367,107449.09
2025-11-20,1.361,1.374,1.15,1.194,104709.29
2025-11-21,1.211,1.254,1.1,1.232,83565.5
2025-11-22,1.221,1.23,1.15,1.153,39567.6
2025-11-23,1.162,1.219,1.05,1.117,81580.92
2025-11-24,1.109,1.17,1.093,1.17,37828.12
