timestamp,open,high,low,close,volume
2025-03-28,4.805,4.869,4.505,4.556,1610.84
2025-03-29,4.501,4.61,4.183,4.216,1122.58
2025-03-30,4.242,4.383,4.2,4.313,3910.6
2025-03-31,4.332,4.459,4.2,4.379,7054.58
2025-04-01,4.382,4.544,4.349,4.355,3191.25
2025-04-02,4.365,4.589,4.141,4.214,1813.43
2025-04-03,4.232,5.444,4.232,4.649,6972.15
2025-04-04,4.66,5.091,4.595,4.942,3689.53
2025-04-05,4.976,5.001,4.724,4.795,1620.13
2025-04-06,4.797,4.818,4.386,4.444,2052.1
2025-04-07,4.432,4.583,4.038,4.359,4365.75
2025-04-08,4.328,4.418,4.11,4.158,2712.48
2025-04-09,4.157,4.571,4.02,4.538,2196.48
2025-04-10,4.535,4.535,4.239,4.326,2057.91
2025-04-11,4.339,4.4,4.208,4.268,2859.63
2025-04-12,4.316,4.394,4.169,4.337,2714.69
2025-04-13,4.389,4.396,4.058,4.115,2803.15
2025-04-14,4.145,4.266,4.064,4.144,2758.16
2025-04-15,4.136,4.207,3.98,3.98,3835.52
2025-04-16,3.975,4.107,3.928,4.024,4950.5
2025-04-17,4.035,4.19,3.996,4.096,1262.49
2025-04-18,4.113,4.214,4.059,4.117,1649.4
2025-04-19,4.137,4.242,4.121,4.238,302.46
2025-04-20,4.217,4.254,4.11,4.156,602.42
2025-04-21,4.153,4.291,4.05,4.05,1484.83
2025-04-22,4.063,4.332,3.977,4.292,2257.53
2025-04-23,4.31,4.431,4.23,4.415,1525.33
2025-04-24,4.418,4.604,4.248,4.544,2230.21
2025-04-25,4.54,4.624,4.432,4.576,695.33
2025-04-26,4.569,4.721,4.529,4.589,5534.49
2025-04-27,4.621,4.699,4.369,4.432,1952.23
2025-04-28,4.368,4.489,4.292,4.47,1398.24
2025-04-29,4.426,4.515,4.343,4.343,550.84
2025-04-30,4.347,4.415,4.229,4.304,1394.66
2025-05-01,4.309,4.484,4.276,4.399,1050.27
2025-05-02,4.429,4.492,4.339,4.387,1877.77
2025-05-03,4.394,4.41,4.161,4.248,1397.63
2025-05-04,4.25,4.262,4.07,4.083,687.29
2025-05-05,4.108,4.7,4.055,4.07,4587.7
2025-05-06,4.066,4.104,3.979,4.1,1105.35
2025-05-07,4.104,4.183,4.092,4.174,1415.93
2025-05-08,4.164,4.574,4.164,4.5,5298.59
2025-05-09,4.527,4.99,4.493,4.93,7076.62
2025-05-10,4.947,5.385,4.87,5.378,3282.48
2025-05-11,5.386,5.416,5.126,5.285,2220.02
2025-05-12,5.319,5.49,5.122,5.27,4528.92
2025-05-13,5.227,5.343,5.019,5.273,3062.84
2025-05-14,5.288,5.34,5.061,5.073,2019.68
2025-05-15,5.073,5.14,4.775,4.85,1391.95
2025-05-16,4.874,4.976,4.795,4.833,1161.71
2025-05-17,4.781,4.797,4.665,4.715,359.91
2025-05-18,4.726,5.118,4.645,4.951,1401.96
2025-05-19,4.969,5.005,4.593,4.795,2016.76
2025-05-20,4.793,4.901,4.667,4.863,2192.37
2025-05-21,4.834,5.057,4.788,4.983,1331.68
2025-05-22,4.957,5.225,4.957,5.176,2154.56
2025-05-23,5.185,5.341,4.778,4.784,1566.13
2025-05-24,4.808,4.857,4.703,4.709,1432.82
2025-05-25,4.713,4.8,4.582,4.789,1558.54
2025-05-26,4.779,4.942,4.742,4.763,2024.1
2025-05-27,4.774,4.95,4.695,4.731,1289.44
2025-05-28,4.749,4.865,4.646,4.831,2939.37
2025-05-29,4.823,4.906,4.546,4.59,2055.2
2025-05-30,4.622,4.66,4.247,4.247,3444.35
2025-05-31,4.283,4.382,4.184,4.331,1359.58
2025-06-01,4.336,4.706,4.263,4.375,2696.53
2025-06-02,4.367,4.911,4.263,4.486,3690.66
2025-06-03,4.491,4.575,4.38,4.418,3625.37
2025-06-04,4.435,4.53,4.247,4.3,2714.59
2025-06-05,4.275,4.344,4.023,4.093,1497.08
2025-06-06,4.124,4.283,4.094,4.182,877.57
2025-06-07,4.167,4.329,4.167,4.326,1605.18
2025-06-08,4.301,4.327,4.187,4.263,630.55
2025-06-09,4.271,4.44,4.236,4.41,1307.14
2025-06-10,4.44,4.635,3.88,4.61,3808.36
2025-06-11,4.6,4.645,4.465,4.505,1610.27
2025-06-12,4.51,4.539,4.222,4.222,1322.05
2025-06-13,4.202,4.202,4.011,4.112,1659.75
2025-06-14,4.11,4.151,4.021,4.101,910.31
2025-06-15,4.103,4.131,4.021,4.072,612.27
2025-06-16,4.095,4.298,4.072,4.154,2020.42
2025-06-17,4.12,4.194,3.989,4.003,1176.76
2025-06-18,4.04,4.069,3.929,4.069,723.78
2025-06-19,3.997,4.064,3.897,4.058,3167.96
2025-06-20,4.046,4.07,3.841,3.93,720.96
2025-06-21,3.903,4.057,3.694,3.749,1831.53
2025-06-22,3.759,3.839,3.564,3.67,4854.01
2025-06-23,3.718,4.087,3.684,4.087,1769.41
2025-06-24,4.081,4.141,3.996,4.084,1277.34
2025-06-25,4.051,4.087,3.984,3.984,702.23
2025-06-26,3.999,4.065,3.893,3.893,1065.43
2025-06-27,3.892,3.963,3.846,3.938,525.86
2025-06-28,3.932,4.025,3.911,3.994,236.28
2025-06-29,3.988,4.224,3.954,4.217,1184.05
2025-06-30,4.224,4.236,4.067,4.149,5322.11
2025-07-01,4.111,4.182,3.917,3.924,1175.42
2025-07-02,4.017,4.242,3.913,4.206,1032.31
2025-07-03,4.154,4.256,4.152,4.2,623.99
2025-07-04,4.156,4.27,3.937,3.979,1256.61
2025-07-05,4.019,4.186,3.942,3.985,330.08
2025-07-06,3.99,4.27,3.978,4.14,1580.02
2025-07-07,4.087,4.233,4.013,4.025,1029.76
2025-07-08,4.019,4.152,3.997,4.135,506.41
2025-07-09,4.129,4.356,4.087,4.289,1592.78
2025-07-10,4.29,4.623,4.26,4.623,4041.11
2025-07-11,4.63,4.79,4.535,4.64,3385.59
2025-07-12,4.599,4.709,4.49,4.579,946.68
2025-07-13,4.592,4.753,4.531,4.627,1892.55
2025-07-14,4.665,4.871,4.492,4.563,4292.67
2025-07-15,4.515,4.715,4.429,4.701,3813.79
2025-07-16,4.643,4.871,4.596,4.735,3558.18
2025-07-17,4.74,4.893,4.64,4.883,4479.24
2025-07-18,4.859,5.153,4.757,4.757,5809.64
2025-07-19,4.877,5.048,4.777,5.019,2205.69
2025-07-20,5.019,5.275,4.952,5.196,4390.48
2025-07-21,5.13,5.31,5.081,5.203,3829.32
2025-07-22,5.162,5.213,4.922,5.12,1731.09
2025-07-23,5.043,5.136,4.579,4.687,4458.91
2025-07-24,4.679,4.964,4.47,4.639,5270.38
2025-07-25,4.593,4.734,4.513,4.712,2656.62
2025-07-26,4.713,4.831,4.652,4.77,3480.53
2025-07-27,4.78,4.877,4.75,4.857,1254.36
2025-07-28,4.873,4.946,4.595,4.609,3305.81
2025-07-29,4.609,4.758,4.522,4.522,1421.31
2025-07-30,4.6,4.637,4.256,4.411,1621.91
2025-07-31,4.424,4.735,4.195,4.195,4677.32
2025-08-01,4.183,4.252,4.045,4.128,1866.92
2025-08-02,4.126,4.2,4.019,4.127,1003.78
2025-08-03,4.123,4.279,4.033,4.279,362.55
2025-08-04,4.266,4.342,4.185,4.322,2549.6
2025-08-05,4.314,4.34,4.122,4.168,2002.77
2025-08-06,4.235,4.331,4.097,4.317,5466.48
2025-08-07,4.293,4.464,4.246,4.464,1520.27
2025-08-08,4.464,4.656,4.382,4.576,6162.73
2025-08-09,4.602,4.791,4.526,4.718,2911.45
2025-08-10,4.734,4.802,4.575,4.67,1540.61
2025-08-11,4.647,4.774,4.456,4.47,3034.62
2025-08-12,4.481,4.799,4.461,4.668,2395.45
2025-08-13,4.749,4.893,4.593,4.881,3994.69
2025-08-14,4.809,4.913,4.445,4.517,3065.63
2025-08-15,4.522,4.616,4.341,4.453,932.67
2025-08-16,4.41,4.596,4.392,4.575,655.72
2025-08-17,4.581,4.747,4.543,4.664,684.14
2025-08-18,4.623,4.728,4.381,4.47,1514.41
2025-08-19,4.454,4.524,4.289,4.334,1864.09
2025-08-20,4.3,4.502,4.252,4.498,2439.07
2025-08-21,4.472,4.511,4.396,4.396,611.22
2025-08-22,4.402,4.85,4.309,4.802,4368.79
2025-08-23,4.846,4.925,4.711,4.884,1805.17
2025-08-24,4.902,4.96,4.663,4.843,1707.16
2025-08-25,4.834,4.841,4.4,4.416,2586.57
2025-08-26,4.4,4.575,4.394,4.525,1081.34
2025-08-27,4.524,4.588,4.493,4.493,1088.0
2025-08-28,4.467,4.8,4.463,4.8,1194.48
2025-08-29,4.8,4.805,4.434,4.476,2277.71
2025-08-30,4.475,4.8,4.405,4.469,2097.03
2025-08-31,4.51,4.614,4.461,4.461,1413.29
2025-09-01,4.46,4.614,4.33,4.373,2410.94
2025-09-02,4.398,4.477,4.354,4.431,1444.8
2025-09-03,4.438,4.558,4.359,4.536,1233.22
2025-09-04,4.517,4.542,4.3,4.429,1835.63
2025-09-05,4.429,4.548,4.339,4.43,1270.8
2025-09-06,4.436,4.479,4.354,4.389,21665.13
2025-09-07,4.407,4.512,4.407,4.497,890.24
2025-09-08,4.499,4.591,4.476,4.552,1661.56
2025-09-09,4.562,4.67,4.502,4.597,901.97
2025-09-10,4.595,4.72,4.543,4.664,2162.69
2025-09-11,4.668,4.713,4.595,4.696,2053.81
2025-09-12,4.699,4.77,4.595,4.746,2584.06
2025-09-13,4.748,4.877,4.703,4.806,2859.84
2025-09-14,4.81,4.832,4.626,4.626,982.21
2025-09-15,4.628,4.671,4.446,4.485,1185.64
2025-09-16,4.504,4.597,4.424,4.573,1094.52
2025-09-17,4.595,4.634,4.089,4.631,1808.17
2025-09-18,4.632,4.703,4.549,4.662,2786.48
2025-09-19,4.676,4.752,4.458,4.483,1484.88
2025-09-20,4.45,4.532,4.413,4.423,613.8
2025-09-21,4.442,4.5,4.407,4.421,3262.69
2025-09-22,4.4,4.477,3.999,4.175,2795.62
2025-09-23,4.144,4.214,4.121,4.128,2923.57
2025-09-24,4.144,4.227,4.11,4.128,3297.28
2025-09-25,4.208,4.5,3.957,4.082,4378.36
2025-09-26,4.025,4.54,3.962,4.177,4693.0
2025-09-27,4.104,4.177,4.063,4.144,762.47
2025-09-28,4.138,4.341,4.021,4.163,1218.12
2025-09-29,4.181,4.188,4.019,4.105,2707.47
2025-09-30,4.098,4.153,3.996,4.095,1127.97
2025-10-01,4.072,4.249,4.067,4.145,1144.81
2025-10-02,4.127,4.324,4.113,4.304,4147.41
