timestamp,open,high,low,close,volume
2025-03-28,4.595,4.635,4.248,4.295,3073.09
2025-03-29,4.28,4.28,4.002,4.045,3100.28
2025-03-30,4.049,4.167,3.977,4.038,8478.77
2025-03-31,4.036,4.093,3.952,3.977,3135.88
2025-04-01,4.043,4.271,4.018,4.166,1918.96
2025-04-02,4.156,4.22,3.917,3.964,3789.07
2025-04-03,3.961,4.104,3.811,4.046,8765.76
2025-04-04,4.061,4.12,3.962,4.038,2710.07
2025-04-05,4.034,4.08,3.91,3.944,2075.41
2025-04-06,3.948,3.979,3.311,3.68,27295.08
2025-04-07,3.679,3.723,3.295,3.59,9118.95
2025-04-08,3.614,3.694,3.35,3.376,5906.53
2025-04-09,3.356,3.744,3.261,3.651,8447.55
2025-04-10,3.632,3.654,3.391,3.454,6949.05
2025-04-11,3.466,3.59,3.419,3.553,1611.35
2025-04-12,3.564,3.751,3.536,3.706,1078.79
2025-04-13,3.717,3.813,3.626,3.635,6164.75
2025-04-14,3.671,3.789,3.64,3.675,2573.06
2025-04-15,3.673,3.742,3.521,3.521,2612.63
2025-04-16,3.519,3.615,3.478,3.545,1643.87
2025-04-17,3.584,3.694,3.539,3.636,8731.45
2025-04-18,3.648,3.744,3.633,3.686,910.33
2025-04-19,3.676,3.886,3.651,3.88,1905.85
2025-04-20,3.88,3.941,3.795,3.882,1207.85
2025-04-21,3.882,3.974,3.778,3.778,3102.54
2025-04-22,3.779,4.038,3.691,3.955,10016.55
2025-04-23,3.957,4.189,3.957,4.059,13394.67
2025-04-24,4.067,4.268,3.941,4.251,7045.17
2025-04-25,4.279,4.357,4.227,4.281,2337.52
2025-04-26,4.255,4.35,3.578,4.273,5575.43
2025-04-27,4.281,4.284,4.064,4.092,1887.31
2025-04-28,4.086,4.257,3.95,4.23,4379.46
2025-04-29,4.236,4.321,4.109,4.113,2961.67
2025-04-30,4.133,4.169,4.033,4.077,10802.21
2025-05-01,4.12,4.217,4.073,4.17,9495.99
2025-05-02,4.22,4.279,4.145,4.158,792.07
2025-05-03,4.126,4.15,4.009,4.04,894.15
2025-05-04,4.03,4.038,3.904,3.904,2314.62
2025-05-05,3.92,4.009,3.892,3.909,7935.05
2025-05-06,3.916,3.97,3.831,3.964,2249.85
2025-05-07,3.975,4.001,3.882,3.959,2438.6
2025-05-08,3.99,4.483,3.99,4.449,12236.78
2025-05-09,4.468,4.862,4.391,4.79,12939.18
2025-05-10,4.799,5.312,4.799,5.312,11610.66
2025-05-11,5.322,5.35,4.961,5.085,6978.47
2025-05-12,5.059,5.387,4.91,5.067,13148.33
2025-05-13,5.06,5.267,4.828,5.208,3417.76
2025-05-14,5.216,5.254,4.961,4.973,5178.87
2025-05-15,5.017,5.017,4.689,4.731,12085.77
2025-05-16,4.766,4.947,4.721,4.758,1723.78
2025-05-17,4.724,4.738,4.568,4.568,3952.28
2025-05-18,4.615,4.913,4.518,4.798,1553.2
