timestamp,open,high,low,close,volume
2025-03-28,0.54,0.54,0.501,0.505,27292.9
2025-03-29,0.512,0.512,0.465,0.467,9151.2
2025-03-30,0.473,0.482,0.462,0.469,4703.2
2025-03-31,0.463,0.472,0.443,0.452,27948.0
2025-04-01,0.461,0.487,0.461,0.469,14484.5
2025-04-02,0.465,0.476,0.427,0.431,29269.8
2025-04-03,0.435,0.451,0.412,0.435,19318.1
2025-04-04,0.435,0.447,0.422,0.447,13024.8
2025-04-05,0.447,0.447,0.427,0.427,4214.5
2025-04-06,0.432,0.433,0.378,0.386,106516.9
2025-04-07,0.383,0.404,0.348,0.391,76654.4
2025-04-08,0.39,0.404,0.376,0.38,37327.3
2025-04-09,0.381,0.444,0.363,0.444,46985.3
2025-04-10,0.443,0.443,0.407,0.422,37386.7
2025-04-11,0.421,0.451,0.421,0.448,20880.3
2025-04-12,0.447,0.49,0.446,0.484,24260.2
2025-04-13,0.486,0.538,0.477,0.493,53420.8
2025-04-14,0.5,0.513,0.482,0.485,61912.7
2025-04-15,0.484,0.486,0.456,0.461,11152.4
2025-04-16,0.456,0.466,0.445,0.456,9225.0
2025-04-17,0.46,0.505,0.46,0.5,14970.9
2025-04-18,0.495,0.517,0.493,0.498,14255.9
2025-04-19,0.51,0.57,0.509,0.556,20415.1
2025-04-20,0.557,0.621,0.554,0.604,33283.1
2025-04-21,0.605,0.651,0.587,0.606,70487.7
2025-04-22,0.604,0.639,0.58,0.639,27648.4
2025-04-23,0.639,0.645,0.607,0.615,23209.0
2025-04-24,0.626,0.721,0.609,0.708,56394.9
2025-04-25,0.705,0.752,0.677,0.752,62483.4
2025-04-26,0.753,0.805,0.741,0.784,45820.8
2025-04-27,0.785,0.796,0.713,0.714,58308.9
2025-04-28,0.712,0.738,0.688,0.719,170920.8
2025-04-29,0.713,0.743,0.689,0.697,26304.7
2025-04-30,0.704,0.741,0.682,0.736,137140.9
2025-05-01,0.742,0.787,0.729,0.73,37389.0
2025-05-02,0.732,0.737,0.704,0.709,169175.4
2025-05-03,0.706,0.714,0.674,0.684,15050.4
2025-05-04,0.691,0.691,0.646,0.656,25336.8
2025-05-05,0.657,0.677,0.639,0.664,85301.6
2025-05-06,0.66,0.688,0.636,0.688,22536.5
2025-05-07,0.688,0.713,0.659,0.677,99361.6
2025-05-08,0.682,0.788,0.682,0.78,40196.9
2025-05-09,0.767,0.877,0.762,0.833,44578.4
2025-05-10,0.833,0.905,0.792,0.905,71596.8
2025-05-11,0.906,0.909,0.831,0.856,27241.0
2025-05-12,0.858,0.911,0.797,0.831,226524.0
2025-05-13,0.83,0.904,0.792,0.893,284716.6
2025-05-14,0.893,0.895,0.822,0.837,285116.5
2025-05-15,0.831,0.84,0.753,0.78,258735.1
2025-05-16,0.784,0.803,0.756,0.768,74458.7
2025-05-17,0.76,0.764,0.737,0.743,76514.4
2025-05-18,0.748,0.799,0.722,0.78,65499.8
2025-05-19,0.781,0.781,0.706,0.735,187574.4
2025-05-20,0.736,0.756,0.714,0.752,193663.3
2025-05-21,0.754,0.829,0.744,0.809,46973.7
2025-05-22,0.814,0.907,0.809,0.883,147640.8
2025-05-23,0.887,0.99,0.843,0.845,178009.1
2025-05-24,0.852,0.876,0.834,0.852,86397.6
2025-05-25,0.857,0.866,0.797,0.845,48891.8
2025-05-26,0.849,0.936,0.839,0.864,105023.4
2025-05-27,0.873,0.929,0.851,0.892,27601.4
2025-05-28,0.887,0.923,0.859,0.916,24020.9
2025-05-29,0.911,0.929,0.851,0.851,108714.5
2025-05-30,0.851,0.851,0.744,0.744,129533.4
2025-05-31,0.741,0.769,0.715,0.756,55881.4
2025-06-01,0.751,0.773,0.724,0.761,13805.9
2025-06-02,0.764,0.783,0.727,0.782,7719.8
2025-06-03,0.786,0.844,0.775,0.817,44350.2
2025-06-04,0.824,0.839,0.786,0.791,7182.9
2025-06-05,0.798,0.815,0.715,0.724,13026.7
2025-06-06,0.719,0.756,0.711,0.72,9834.7
2025-06-07,0.725,0.776,0.725,0.77,7954.1
2025-06-08,0.767,0.774,0.739,0.741,4380.5
2025-06-09,0.74,0.803,0.732,0.792,11533.4
2025-06-10,0.802,0.822,0.778,0.818,16710.4
2025-06-11,0.819,0.835,0.768,0.777,19976.8
2025-06-12,0.767,0.772,0.716,0.717,80240.4
2025-06-13,0.715,0.715,0.647,0.678,93382.5
2025-06-14,0.676,0.679,0.651,0.669,20807.1
2025-06-15,0.672,0.703,0.666,0.698,7379.9
2025-06-16,0.699,0.74,0.694,0.694,114463.0
2025-06-17,0.691,0.693,0.642,0.652,183638.3
2025-06-18,0.657,0.676,0.635,0.671,250158.8
2025-06-19,0.678,0.701,0.667,0.677,13680.1
2025-06-20,0.677,0.698,0.634,0.645,20225.2
2025-06-21,0.652,0.658,0.596,0.6,221542.9
2025-06-22,0.609,0.621,0.55,0.58,34700.7
2025-06-23,0.587,0.693,0.574,0.688,149654.8
2025-06-24,0.683,0.715,0.66,0.676,133127.1
2025-06-25,0.679,0.683,0.654,0.654,72515.2
2025-06-26,0.654,0.681,0.644,0.662,16550.5
2025-06-27,0.675,0.681,0.651,0.66,4429.9
2025-06-28,0.674,0.689,0.661,0.686,7271.0
2025-06-29,0.69,0.72,0.675,0.711,52224.4
2025-06-30,0.706,0.706,0.664,0.679,8617.6
2025-07-01,0.676,0.676,0.656,0.66,40255.2
2025-07-02,0.671,0.724,0.65,0.712,183133.2
2025-07-03,0.723,0.747,0.703,0.723,63368.5
2025-07-04,0.732,0.732,0.667,0.671,31489.1
2025-07-05,0.672,0.675,0.654,0.662,18665.7
2025-07-06,0.659,0.695,0.649,0.68,49869.9
2025-07-07,0.683,0.686,0.657,0.666,8006.8
2025-07-08,0.671,0.686,0.66,0.677,5534.0
2025-07-09,0.675,0.713,0.665,0.707,97584.0
2025-07-10,0.695,0.752,0.693,0.745,71568.0
2025-07-11,0.733,0.77,0.705,0.716,99108.2
2025-07-12,0.714,0.735,0.669,0.688,83822.3
2025-07-13,0.688,0.739,0.687,0.735,133907.5
2025-07-14,0.731,0.754,0.705,0.707,97164.6
2025-07-15,0.701,0.753,0.666,0.751,102475.2
2025-07-16,0.746,0.788,0.732,0.775,103899.0
2025-07-17,0.779,0.787,0.737,0.776,116856.0
2025-07-18,0.766,0.836,0.741,0.76,100379.7
2025-07-19,0.761,0.795,0.739,0.78,117214.4
2025-07-20,0.783,0.816,0.778,0.8,142742.4
2025-07-21,0.797,0.885,0.784,0.842,229429.9
2025-07-22,0.84,0.854,0.78,0.824,140811.3
2025-07-23,0.82,0.82,0.722,0.746,39759.4
2025-07-24,0.742,0.775,0.714,0.724,99023.0
2025-07-25,0.721,0.742,0.704,0.74,123511.6
2025-07-26,0.736,0.74,0.673,0.731,44346.6
2025-07-27,0.733,0.757,0.728,0.755,103095.2
2025-07-28,0.758,0.784,0.705,0.718,144565.4
2025-07-29,0.717,0.729,0.69,0.707,22805.6
2025-07-30,0.705,0.718,0.657,0.685,47727.2
2025-07-31,0.688,0.707,0.666,0.669,40099.2
2025-08-01,0.668,0.672,0.622,0.636,19839.0
2025-08-02,0.639,0.643,0.605,0.617,10219.5
2025-08-03,0.618,0.638,0.609,0.637,12637.7
2025-08-04,0.64,0.67,0.64,0.67,29317.6
2025-08-05,0.666,0.666,0.631,0.645,21275.1
2025-08-06,0.64,0.655,0.631,0.647,6447.3
2025-08-07,0.65,0.691,0.65,0.685,29904.7
2025-08-08,0.688,0.709,0.682,0.705,137110.8
2025-08-09,0.705,0.727,0.679,0.719,109482.4
2025-08-10,0.719,0.729,0.694,0.716,43172.6
2025-08-11,0.714,0.743,0.669,0.687,104217.4
2025-08-12,0.685,0.731,0.678,0.725,28079.0
2025-08-13,0.728,0.765,0.719,0.754,28643.8
2025-08-14,0.753,0.768,0.689,0.707,65747.6
2025-08-15,0.707,0.718,0.679,0.698,28214.3
2025-08-16,0.7,0.709,0.693,0.703,5314.1
2025-08-17,0.702,0.731,0.701,0.703,7654.4
2025-08-18,0.702,0.702,0.67,0.679,19324.3
2025-08-19,0.677,0.685,0.661,0.663,10687.2
2025-08-20,0.666,0.688,0.655,0.687,9504.6
2025-08-21,0.682,0.685,0.664,0.666,10173.4
2025-08-22,0.668,0.713,0.638,0.7,21514.8
2025-08-23,0.696,0.699,0.675,0.69,13832.8
2025-08-24,0.693,0.701,0.637,0.679,62594.7
2025-08-25,0.677,0.683,0.617,0.624,26302.3
2025-08-26,0.622,0.649,0.62,0.646,13636.7
2025-08-27,0.645,0.65,0.635,0.639,30272.2
2025-08-28,0.642,0.656,0.636,0.647,4783.1
2025-08-29,0.65,0.664,0.61,0.618,53415.8
2025-08-30,0.617,0.626,0.609,0.624,13478.2
2025-08-31,0.624,0.634,0.614,0.614,4873.3
2025-09-01,0.614,0.622,0.58,0.591,27773.9
2025-09-02,0.59,0.616,0.584,0.613,24536.4
2025-09-03,0.616,0.628,0.589,0.622,16196.6
2025-09-04,0.619,0.623,0.59,0.592,7301.1
2025-09-05,0.595,0.62,0.595,0.609,7122.8
2025-09-06,0.612,0.614,0.6,0.603,3300.1
2025-09-07,0.605,0.635,0.605,0.629,10923.0
2025-09-08,0.631,0.663,0.631,0.648,39684.5
2025-09-09,0.653,0.683,0.64,0.644,20079.6
2025-09-10,0.644,0.661,0.639,0.654,7083.8
2025-09-11,0.656,0.671,0.65,0.671,20067.4
2025-09-12,0.672,0.685,0.661,0.682,26664.6
2025-09-13,0.679,0.698,0.676,0.687,19575.3
2025-09-14,0.688,0.69,0.653,0.661,13898.9
2025-09-15,0.663,0.67,0.631,0.638,13114.1
2025-09-16,0.634,0.648,0.629,0.646,12113.3
2025-09-17,0.645,0.673,0.63,0.665,18365.8
2025-09-18,0.669,0.714,0.663,0.671,35276.8
2025-09-19,0.674,0.684,0.642,0.642,26875.9
2025-09-20,0.645,0.657,0.64,0.646,9622.8
2025-09-21,0.642,0.649,0.632,0.633,12399.7
2025-09-22,0.634,0.67,0.574,0.598,55401.4
2025-09-23,0.595,0.604,0.585,0.588,8531.7
2025-09-24,0.59,0.603,0.576,0.594,18301.7
2025-09-25,0.593,0.661,0.553,0.555,49339.5
2025-09-26,0.563,0.585,0.551,0.581,5760.7
2025-09-27,0.583,0.63,0.57,0.574,18034.3
2025-09-28,0.571,0.584,0.562,0.579,7034.9
2025-09-29,0.578,0.581,0.562,0.571,6231.7
2025-09-30,0.571,0.581,0.543,0.545,5823.5
2025-10-01,0.545,0.595,0.523,0.592,19432.3
2025-10-02,0.591,0.622,0.581,0.608,16278.7
2025-10-03,0.605,0.613,0.588,0.6,90257.5
2025-10-04,0.599,0.599,0.576,0.583,3864.0
2025-10-05,0.588,0.618,0.579,0.582,14646.1
2025-10-06,0.578,0.597,0.491,0.588,107057.9
2025-10-07,0.589,0.589,0.556,0.556,13632.8
2025-10-08,0.561,0.564,0.547,0.552,14493.2
2025-10-09,0.551,0.554,0.489,0.492,34402.5
2025-10-10,0.494,0.516,0.25,0.347,246338.6
2025-10-11,0.353,0.431,0.353,0.367,90520.1
2025-10-12,0.366,0.404,0.359,0.384,83530.4
2025-10-13,0.382,0.388,0.363,0.371,144686.9
2025-10-14,0.37,0.37,0.307,0.315,437793.4
2025-10-15,0.315,0.324,0.289,0.293,74421.3
2025-10-16,0.291,0.298,0.27,0.274,136295.0
2025-10-17,0.272,0.277,0.2531,0.2725,20015.4
2025-10-18,0.2667,0.278,0.2532,0.2592,25292.3
2025-10-19,0.259,0.306,0.255,0.2901,84852.5
2025-10-20,0.2882,0.2995,0.2685,0.2685,137152.9
2025-10-21,0.2687,0.2702,0.2438,0.2438,122091.7
2025-10-22,0.2456,0.2485,0.2262,0.2363,54518.4
2025-10-23,0.2364,0.259,0.2325,0.2521,66489.9
2025-10-24,0.2526,0.35,0.2516,0.2659,303378.0
2025-10-25,0.2632,0.2635,0.2541,0.2578,38447.9
2025-10-26,0.2585,0.285,0.2556,0.2814,103282.2
2025-10-27,0.282,0.2824,0.263,0.2633,42741.1
2025-10-28,0.2635,0.2754,0.2525,0.2563,201288.9
2025-10-29,0.2575,0.275,0.2557,0.2616,92604.3
2025-10-30,0.2652,0.2659,0.2314,0.2393,317070.4
2025-10-31,0.2402,0.2438,0.2314,0.2349,89193.9
2025-11-01,0.2366,0.2617,0.2329,0.2568,171255.2
2025-11-02,0.2572,0.2733,0.2376,0.2461,161692.0
2025-11-03,0.2435,0.2435,0.2041,0.2068,135243.5
2025-11-04,0.2104,0.2152,0.1944,0.2122,81612.0
2025-11-05,0.2081,0.2258,0.2028,0.2258,37037.0
2025-11-06,0.2209,0.2324,0.2104,0.2303,89193.2
2025-11-07,0.2334,0.4582,0.2096,0.3654,1185388.0
2025-11-08,0.3663,0.408,0.3227,0.3422,739740.0
2025-11-09,0.3418,0.3587,0.2853,0.3499,739301.0
2025-11-10,0.3461,0.3757,0.3243,0.3519,364698.9
2025-11-11,0.3587,0.3892,0.3299,0.3305,178280.0
2025-11-12,0.3335,0.3593,0.309,0.3112,121615.4
2025-11-13,0.3112,0.3202,0.2784,0.291,86588.9
2025-11-14,0.2881,0.2903,0.2658,0.2713,68004.6
2025-11-15,0.2723,0.3031,0.2658,0.2877,142026.9
2025-11-16,0.2862,0.2943,0.2651,0.2758,42179.4
2025-11-17,0.2773,0.2864,0.2625,0.2694,119676.4
2025-11-18,0.266,0.3233,0.2647,0.3026,320254.2
2025-11-19,0.301,0.3372,0.2797,0.3345,381170.7
2025-11-20,0.3262,0.3416,0.3023,0.3154,113384.6
2025-11-21,0.314,0.3153,0.25,0.2937,237216.0
2025-11-22,0.2954,0.2986,0.2648,0.2794,69036.4
2025-11-23,0.2819,0.2927,0.2759,0.2759,49164.9
2025-11-24,0.2747,0.3005,0.2682,0.2774,54550.2
2025-11-25,0.2779,0.2849,0.2636,0.2808,60784.6
2025-11-26,0.2805,0.2818,0.2524,0.2687,24750.0
2025-11-27,0.2648,0.271,0.2622,0.2628,8882.6
2025-11-28,0.2658,0.2793,0.2596,0.2647,20390.5
2025-11-29,0.2642,0.2773,0.2563,0.2625,15484.7
2025-11-30,0.2586,0.266,0.2535,0.2563,72040.8
2025-12-01,0.2563,0.2563,0.2255,0.2292,104023.3
2025-12-02,0.2297,0.2691,0.2259,0.2597,48874.4
2025-12-03,0.2541,0.2714,0.2541,0.2649,24602.6
2025-12-04,0.2577,0.2674,0.2458,0.2532,27411.5
2025-12-05,0.2506,0.2795,0.2249,0.2351,63279.8
2025-12-06,0.2357,0.2386,0.2308,0.2366,6754.7
2025-12-07,0.2335,0.2536,0.225,0.2339,29529.3
2025-12-08,0.237,0.2467,0.2335,0.2423,33350.5
2025-12-09,0.2396,0.2851,0.2356,0.2592,52819.8
2025-12-10,0.2637,0.2701,0.253,0.253,15340.0
2025-12-11,0.2524,0.2524,0.2332,0.2412,69828.5
2025-12-12,0.2415,0.2467,0.2305,0.2397,88527.6
2025-12-13,0.2405,0.2718,0.2405,0.2451,36748.1
2025-12-14,0.2491,0.2491,0.2305,0.2339,17673.9
2025-12-15,0.2339,0.2558,0.2172,0.2239,30010.3
2025-12-16,0.2238,0.2351,0.2183,0.2223,42746.1
2025-12-17,0.2202,0.2244,0.2035,0.2035,47377.8
2025-12-18,0.2041,0.2122,0.1934,0.1966,28355.9
2025-12-19,0.1924,0.2166,0.1924,0.2122,22798.2
2025-12-20,0.2104,0.2144,0.2072,0.2101,5210.2
2025-12-21,0.2098,0.2133,0.201,0.2059,37326.0
2025-12-22,0.2081,0.2134,0.2033,0.2059,31377.2
2025-12-23,0.2081,0.2146,0.2032,0.209,64706.7
2025-12-24,0.2134,0.2134,0.2018,0.2102,8016.8
2025-12-25,0.2095,0.2144,0.2023,0.2023,26841.5
2025-12-26,0.202,0.2119,0.2015,0.2102,6429.9
2025-12-27,0.2113,0.2198,0.2098,0.2198,6351.0
2025-12-28,0.2148,0.2203,0.2122,0.2154,37565.4
2025-12-29,0.2165,0.2223,0.2088,0.209,20182.9
2025-12-30,0.2082,0.2134,0.2066,0.2102,25634.4
2025-12-31,0.2062,0.2112,0.1983,0.1999,22905.1
2026-01-01,0.1999,0.2152,0.1982,0.2152,20049.8
2026-01-02,0.2158,0.2309,0.2115,0.2264,19311.2
2026-01-03,0.2288,0.2417,0.2263,0.2353,9825.3
2026-01-04,0.2417,0.2704,0.2417,0.2656,93736.6
2026-01-05,0.2691,0.2952,0.2637,0.2922,86351.3
2026-01-06,0.2949,0.3144,0.2821,0.2954,129991.8
