timestamp,open,high,low,close,volume
2025-03-28,6.095,6.115,5.552,5.575,744.72
2025-03-29,5.575,5.575,5.284,5.294,765.77
2025-03-30,5.388,5.435,5.209,5.209,1071.81
2025-03-31,5.236,5.378,5.11,5.257,653.44
2025-04-01,5.298,5.552,5.298,5.428,80.82
2025-04-02,5.39,5.493,5.0,5.0,504.0
2025-04-03,5.149,5.227,4.91,5.043,331.75
2025-04-04,5.17,5.227,4.981,5.026,208.17
2025-04-05,5.038,5.098,4.959,5.045,306.52
2025-04-06,5.033,5.073,4.505,4.578,455.82
2025-04-07,4.569,5.015,4.267,4.668,1241.32
2025-04-08,4.704,4.819,4.494,4.617,783.27
2025-04-09,4.633,5.038,4.53,5.038,2973.42
2025-04-10,5.064,5.064,4.69,4.818,432.64
2025-04-11,4.849,5.073,4.849,5.073,256.69
2025-04-12,5.074,5.275,5.064,5.275,446.21
2025-04-13,5.148,5.17,4.978,5.011,221.97
2025-04-14,5.011,5.092,4.859,4.896,212.76
2025-04-15,4.88,4.901,4.756,4.764,370.2
2025-04-16,4.743,4.745,4.596,4.74,1424.52
2025-04-17,4.671,4.764,4.599,4.732,630.43
2025-04-18,4.758,4.791,4.672,4.786,95.75
2025-04-19,4.787,4.94,4.778,4.838,1343.37
2025-04-20,4.915,4.938,4.799,4.855,375.11
2025-04-21,4.922,4.999,4.756,4.786,552.26
2025-04-22,4.74,5.094,4.655,5.094,3248.98
2025-04-23,5.092,5.241,5.043,5.169,7626.43
2025-04-24,5.149,5.183,4.976,5.183,1825.97
2025-04-25,5.204,5.38,5.13,5.303,2913.89
2025-04-26,5.328,5.469,5.236,5.291,5000.11
2025-04-27,5.209,5.209,5.034,5.125,184.23
2025-04-28,4.984,5.17,4.8,5.099,4662.81
2025-04-29,5.122,5.166,4.865,4.865,2272.34
2025-04-30,4.904,4.945,4.756,4.945,1699.65
2025-05-01,4.988,5.015,4.844,4.986,533.1
2025-05-02,4.991,5.087,4.891,4.901,318.18
2025-05-03,4.885,4.885,4.662,4.744,850.44
2025-05-04,4.669,4.707,4.575,4.614,791.37
2025-05-05,4.618,4.678,4.575,4.575,1604.81
2025-05-06,4.619,4.634,4.452,4.634,368.3
2025-05-07,4.647,4.679,4.505,4.645,160.65
2025-05-08,4.647,5.23,4.647,5.165,3140.46
2025-05-09,5.218,5.462,5.203,5.462,2315.22
2025-05-10,5.462,5.847,5.419,5.847,1497.63
2025-05-11,5.842,5.948,5.51,5.766,1621.52
2025-05-12,5.802,6.2,5.594,5.748,1929.8
2025-05-13,5.67,5.95,5.452,5.936,860.09
2025-05-14,5.956,5.986,5.604,5.628,670.05
2025-05-15,5.594,5.709,5.332,5.492,329.56
2025-05-16,5.47,5.531,5.231,5.231,344.97
2025-05-17,5.209,5.249,5.086,5.126,484.16
2025-05-18,5.17,5.42,5.025,5.328,414.44
2025-05-19,5.209,5.288,4.988,5.252,318.23
2025-05-20,5.284,5.38,5.054,5.171,15340.86
2025-05-21,5.185,5.47,5.159,5.388,7137.61
2025-05-22,5.384,5.707,5.384,5.707,7971.33
2025-05-23,5.679,5.828,5.209,5.209,765.65
2025-05-24,5.267,5.311,5.188,5.209,351.88
2025-05-25,5.178,5.267,5.018,5.267,195.32
2025-05-26,5.274,5.4,5.184,5.184,517.59
2025-05-27,5.178,5.4,5.054,5.311,1515.81
2025-05-28,5.325,5.452,5.209,5.43,475.97
2025-05-29,5.444,5.559,5.24,5.267,4578.96
2025-05-30,5.23,5.23,4.8,4.8,1313.79
2025-05-31,4.775,4.922,4.684,4.822,2373.55
2025-06-01,4.94,4.956,4.812,4.928,585.16
2025-06-02,4.928,5.092,4.844,5.092,1993.44
2025-06-03,5.129,5.577,5.089,5.356,1278.15
2025-06-04,5.311,5.469,5.188,5.222,2120.73
2025-06-05,5.267,5.328,4.829,4.895,357.59
2025-06-06,4.89,5.293,4.858,4.956,1086.62
2025-06-07,5.041,5.249,4.914,5.243,491.45
2025-06-08,5.214,5.722,5.214,5.533,13386.4
2025-06-09,5.528,6.149,5.51,6.02,11758.09
2025-06-10,6.067,6.294,5.89,6.155,2617.82
2025-06-11,6.153,6.8,5.889,6.022,15231.49
2025-06-12,6.067,6.149,5.784,5.784,204.82
2025-06-13,5.765,5.765,5.316,5.508,509.22
2025-06-14,5.47,5.748,5.388,5.516,4975.12
2025-06-15,5.431,5.493,5.289,5.493,551.02
2025-06-16,5.537,5.73,5.378,5.378,303.43
2025-06-17,5.416,5.469,5.079,5.133,431.19
2025-06-18,5.171,5.24,5.0,5.154,497.73
2025-06-19,5.071,5.258,4.961,5.034,1529.97
2025-06-20,5.086,5.205,4.829,4.935,260.43
2025-06-21,4.952,5.013,4.613,4.791,669.26
2025-06-22,4.812,4.812,4.329,4.543,718.31
2025-06-23,4.564,4.965,4.476,4.965,899.99
2025-06-24,4.934,5.015,4.885,4.931,1673.81
2025-06-25,4.949,5.015,4.794,4.794,202.89
2025-06-26,4.864,4.866,4.669,4.784,1364.73
2025-06-27,4.684,4.792,4.642,4.673,420.8
2025-06-28,4.719,4.865,4.697,4.865,383.57
2025-06-29,4.835,5.108,4.813,5.108,317.33
2025-06-30,5.029,5.029,4.83,4.962,382.86
2025-07-01,4.902,4.902,4.681,4.681,530.94
2025-07-02,4.791,5.082,4.741,5.0,392.98
2025-07-03,5.052,5.142,4.959,5.046,296.2
2025-07-04,5.024,5.024,4.728,4.803,147.38
2025-07-05,4.84,4.84,4.686,4.7,376.03
2025-07-06,4.8,4.865,4.747,4.762,102.86
2025-07-07,4.881,4.922,4.74,4.769,388.61
2025-07-08,4.745,4.864,4.716,4.809,33.66
2025-07-09,4.826,5.207,4.826,5.179,763.53
2025-07-10,5.192,5.45,5.11,5.377,770.0
2025-07-11,5.33,5.575,5.277,5.277,1790.17
2025-07-12,5.275,5.41,5.144,5.359,133.41
2025-07-13,5.375,5.565,5.375,5.428,1067.45
2025-07-14,5.453,5.666,5.347,5.394,702.96
2025-07-15,5.325,5.636,5.195,5.602,5850.54
2025-07-16,5.636,5.8,5.493,5.619,887.2
2025-07-17,5.72,5.828,5.48,5.828,1772.38
2025-07-18,5.717,6.147,5.619,5.619,1606.72
2025-07-19,5.684,5.809,5.531,5.769,593.07
2025-07-20,5.836,6.134,5.836,6.008,1468.32
2025-07-21,6.015,6.258,6.001,6.031,1793.36
2025-07-22,6.169,6.169,5.784,6.135,946.26
2025-07-23,6.08,6.081,5.428,5.635,632.72
2025-07-24,5.636,5.747,5.267,5.51,861.32
2025-07-25,5.454,5.579,5.298,5.577,723.29
2025-07-26,5.577,5.757,5.577,5.658,365.36
2025-07-27,5.664,5.828,5.648,5.828,140.0
2025-07-28,5.836,6.003,5.508,5.508,637.44
2025-07-29,5.472,5.722,5.354,5.354,286.35
2025-07-30,5.459,5.616,5.188,5.469,851.94
2025-07-31,5.493,5.552,5.267,5.267,111.99
2025-08-01,5.209,5.249,4.92,4.974,466.72
2025-08-02,5.052,5.072,4.867,4.896,708.2
2025-08-03,4.997,5.138,4.974,5.138,308.83
2025-08-04,5.147,5.326,5.117,5.311,378.51
2025-08-05,5.319,5.319,4.959,5.073,145.67
2025-08-06,4.984,5.149,4.963,5.064,232.29
2025-08-07,5.133,5.34,5.133,5.34,95.84
2025-08-08,5.375,5.469,5.209,5.444,188.08
