timestamp,open,high,low,close,volume
2025-03-28,2.987,2.991,2.675,2.739,1367.4
2025-03-29,2.744,2.767,2.522,2.567,1727.9
2025-03-30,2.582,2.77,2.565,2.572,1539.4
2025-03-31,2.582,2.623,2.476,2.523,3168.5
2025-04-01,2.488,2.694,2.487,2.694,670.4
2025-04-02,2.635,2.747,2.409,2.449,2827.2
2025-04-03,2.466,2.544,2.366,2.515,2162.0
2025-04-04,2.472,2.57,2.404,2.52,2121.3
2025-04-05,2.521,2.522,2.404,2.444,500.3
2025-04-06,2.409,2.411,2.113,2.17,11126.6
2025-04-07,2.154,2.249,1.988,2.145,7247.3
2025-04-08,2.099,2.163,1.879,1.913,2990.1
2025-04-09,1.909,2.149,1.825,2.124,4896.8
2025-04-10,2.099,2.141,1.94,2.015,1088.3
2025-04-11,2.018,2.116,2.018,2.116,2519.3
2025-04-12,2.069,2.231,2.067,2.222,3761.0
2025-04-13,2.181,2.242,2.081,2.081,929.3
2025-04-14,2.102,2.204,2.081,2.102,3067.4
2025-04-15,2.101,2.138,2.019,2.019,663.1
2025-04-16,2.026,2.056,1.916,1.958,1576.7
2025-04-17,1.978,2.094,1.972,2.053,1781.9
2025-04-18,2.031,2.087,2.027,2.081,5465.7
2025-04-19,2.087,2.197,2.087,2.175,696.8
2025-04-20,2.186,2.265,2.147,2.255,3751.1
2025-04-21,2.261,2.326,2.211,2.211,24404.8
2025-04-22,2.205,2.42,2.159,2.384,4377.9
2025-04-23,2.426,2.544,2.397,2.497,4788.7
2025-04-24,2.461,2.582,2.364,2.543,15867.0
2025-04-25,2.549,2.642,2.503,2.6,11055.2
2025-04-26,2.642,2.723,2.56,2.629,2990.6
2025-04-27,2.629,2.673,2.493,2.493,10438.2
2025-04-28,2.491,2.632,2.432,2.59,5589.5
2025-04-29,2.584,2.613,2.492,2.492,3858.6
2025-04-30,2.536,2.541,2.395,2.485,1499.2
2025-05-01,2.489,2.6,2.487,2.543,8457.3
2025-05-02,2.585,2.623,2.493,2.504,1297.3
2025-05-03,2.504,2.511,2.407,2.466,653.2
2025-05-04,2.423,2.436,2.303,2.303,1324.1
2025-05-05,2.316,2.392,2.291,2.343,1194.6
2025-05-06,2.302,2.345,2.239,2.336,4841.1
2025-05-07,2.343,2.379,2.23,2.29,3084.5
2025-05-08,2.252,2.744,2.252,2.742,32274.4
2025-05-09,2.744,2.992,2.744,2.897,23924.7
2025-05-10,2.911,3.38,2.883,3.363,24961.9
2025-05-11,3.333,3.364,3.061,3.17,8386.3
2025-05-12,3.18,3.346,3.027,3.197,7396.2
2025-05-13,3.156,3.283,2.9,3.214,9697.5
2025-05-14,3.214,3.283,3.027,3.05,2328.7
2025-05-15,3.08,3.091,2.829,2.876,3897.1
2025-05-16,2.894,2.984,2.777,2.78,1409.6
2025-05-17,2.766,2.786,2.661,2.703,3567.6
2025-05-18,2.713,2.935,2.653,2.866,2238.8
2025-05-19,2.853,2.854,2.653,2.751,595.6
2025-05-20,2.786,2.883,2.683,2.837,1748.0
2025-05-21,2.794,2.956,2.759,2.899,1726.2
2025-05-22,2.877,3.097,2.877,3.047,6347.7
2025-05-23,3.097,3.152,2.788,2.788,3472.3
2025-05-24,2.817,2.949,2.764,2.764,5225.2
2025-05-25,2.764,2.812,2.642,2.703,4138.4
2025-05-26,2.804,2.868,2.744,2.748,4428.7
2025-05-27,2.74,2.92,2.704,2.813,14806.1
2025-05-28,2.81,2.893,2.728,2.873,6883.5
2025-05-29,2.879,2.986,2.744,2.744,3907.0
2025-05-30,2.749,2.764,2.416,2.446,6643.5
2025-05-31,2.411,2.463,2.338,2.401,2963.5
2025-06-01,2.409,2.466,2.354,2.464,1142.2
