timestamp,open,high,low,close,volume
2025-03-28,73.0,78.9,70.9,70.9,5.289
2025-03-29,72.7,72.7,67.9,72.4,5.452
2025-03-30,67.6,71.5,67.6,70.9,0.591
2025-03-31,73.3,73.3,67.2,71.1,7.981
2025-04-01,70.6,72.3,69.8,72.0,4.533
2025-04-02,69.0,75.7,65.3,65.3,12.04
2025-04-03,70.7,78.9,66.8,67.3,17.773
2025-04-04,71.3,72.5,71.3,72.5,1.082
2025-04-05,68.4,73.4,68.4,73.4,6.837
2025-04-06,68.5,68.8,65.0,65.0,11.038
2025-04-07,66.6,68.7,60.0,65.8,24.902
2025-04-08,64.5,64.5,59.2,59.2,23.888
2025-04-09,60.9,67.4,59.3,66.6,12.033
2025-04-10,65.9,66.4,63.7,63.7,18.696
2025-04-11,64.1,67.1,64.1,64.7,34.163
2025-04-12,65.2,72.1,65.2,67.6,10.814
2025-04-13,67.8,70.2,66.7,68.1,5.107
2025-04-14,66.5,69.2,65.3,65.3,2.108
2025-04-15,64.7,67.2,64.7,65.1,3.723
2025-04-16,65.0,65.0,63.7,64.0,20.641
2025-04-17,65.7,67.4,65.7,65.9,4.875
2025-04-18,64.6,65.9,63.9,64.5,12.543
2025-04-19,65.0,73.6,64.7,64.7,11.737
2025-04-20,66.2,66.2,65.9,65.9,0.922
2025-04-21,66.0,68.1,66.0,68.0,19.723
2025-04-22,67.7,69.4,65.7,69.0,12.478
2025-04-23,69.3,73.1,69.2,70.2,8.309
2025-04-24,73.0,74.6,69.1,73.6,6.119
2025-04-25,75.9,76.5,73.9,73.9,15.634
2025-04-26,76.8,76.9,73.4,76.5,3.594
2025-04-27,77.0,78.2,72.6,73.1,6.993
2025-04-28,76.7,94.0,75.9,76.8,27.647
2025-04-29,80.7,84.0,74.4,76.8,18.495
2025-04-30,74.5,103.3,73.2,73.7,12.853
2025-05-01,76.2,83.3,76.0,83.3,4.087
2025-05-02,84.8,87.2,82.1,83.0,6.611
2025-05-03,85.7,90.3,83.0,84.5,30.306
2025-05-04,86.8,89.9,84.4,89.1,32.646
2025-05-05,90.4,90.9,84.8,86.3,6.851
2025-05-06,86.3,87.6,81.5,86.7,32.129
2025-05-07,87.8,91.7,86.1,89.7,34.811
2025-05-08,92.4,96.7,91.4,95.3,17.223
2025-05-09,96.5,98.4,92.9,95.7,17.162
2025-05-10,95.6,102.4,94.6,102.4,37.349
2025-05-11,100.1,100.1,96.2,96.2,0.765
2025-05-12,100.4,104.0,93.1,94.7,10.999
2025-05-13,99.2,100.1,93.7,99.6,26.155
2025-05-14,97.6,100.9,96.9,100.5,31.968
2025-05-15,99.9,100.5,95.6,95.6,18.233
2025-05-16,93.6,95.3,92.2,92.2,4.297
2025-05-17,91.9,92.7,89.6,89.6,1.611
2025-05-18,94.1,99.7,93.8,96.2,13.795
2025-05-19,93.5,93.8,89.7,93.8,3.196
2025-05-20,96.0,99.6,95.0,97.3,22.392
2025-05-21,98.1,100.1,95.6,96.5,6.793
2025-05-22,99.4,100.4,97.0,97.0,10.063
2025-05-23,99.3,99.6,93.6,95.0,3.664
2025-05-24,97.0,98.4,97.0,97.7,9.0
2025-05-25,97.1,97.1,92.9,94.2,10.081
2025-05-26,93.9,106.4,93.9,106.3,67.373
2025-05-27,104.3,113.8,104.1,111.6,237.274
2025-05-28,114.58,120.2,112.74,117.58,281.615
2025-05-29,118.34,120.2,112.5,114.34,32.69
2025-05-30,113.54,113.9,106.4,106.91,13.22
2025-05-31,105.4,110.78,104.0,109.44,9.136
2025-06-01,109.4,110.3,104.03,104.6,8.75
2025-06-02,105.21,107.2,104.05,107.2,1.186
2025-06-03,108.6,114.5,107.88,114.34,4.389
2025-06-04,115.15,119.18,112.8,116.49,58.012
2025-06-05,116.77,117.7,109.44,113.19,57.771
2025-06-06,109.49,115.09,106.21,113.64,2.538
2025-06-07,114.34,116.77,113.54,114.35,2.52
2025-06-08,114.46,120.17,111.91,117.75,1.88
2025-06-09,119.19,124.0,117.03,124.0,48.75
2025-06-10,124.0,124.0,119.01,122.31,2.717
2025-06-11,122.58,124.99,115.79,115.79,55.729
2025-06-12,115.0,118.27,113.19,114.94,18.885
2025-06-13,113.18,113.18,103.0,106.28,36.757
2025-06-14,106.28,109.49,102.19,104.28,91.944
2025-06-15,103.77,107.02,101.92,106.92,19.703
2025-06-16,107.02,111.88,105.21,105.66,6.548
2025-06-17,103.63,105.16,98.69,102.22,58.961
2025-06-18,101.36,108.99,96.65,104.84,27.151
2025-06-19,100.36,100.36,97.91,97.91,36.666
2025-06-20,98.2,100.99,96.63,97.07,5.237
2025-06-21,99.4,99.4,90.18,91.99,6.996
2025-06-22,90.51,93.82,78.5,89.29,109.804
2025-06-23,90.01,98.79,90.01,96.25,10.927
2025-06-24,98.6,101.7,97.84,99.0,10.157
2025-06-25,100.55,100.55,95.0,99.29,39.747
2025-06-26,98.5,100.47,96.56,96.59,8.701
2025-06-27,99.38,102.09,97.77,101.04,4.504
2025-06-28,102.38,109.72,102.38,109.1,7.934
2025-06-29,110.28,111.89,107.88,111.89,3.707
2025-06-30,109.07,111.7,106.21,109.08,9.047
2025-07-01,108.1,109.11,101.57,104.42,100.115
2025-07-02,106.8,109.94,106.8,109.94,13.537
2025-07-03,108.34,110.05,100.15,108.08,10.21
2025-07-04,109.21,109.82,105.0,105.0,47.711
2025-07-05,106.85,108.0,105.63,107.51,10.747
2025-07-06,107.04,109.8,107.04,107.84,1.176
2025-07-07,107.92,109.44,105.03,108.23,11.753
2025-07-08,105.05,106.5,105.05,105.53,3.662
2025-07-09,109.2,111.5,106.59,111.5,27.188
2025-07-10,110.87,115.0,68.17,115.0,39.026
2025-07-11,115.0,117.33,110.84,110.84,11.282
2025-07-12,113.54,117.42,105.99,111.15,35.215
2025-07-13,113.25,117.42,110.46,115.43,60.043
2025-07-14,115.42,121.0,112.82,114.8,82.777
2025-07-15,112.23,114.54,107.66,114.54,11.665
2025-07-16,112.13,117.04,112.1,117.04,7.62
2025-07-17,114.11,117.94,110.91,111.99,10.911
2025-07-18,114.81,122.58,111.7,114.22,195.397
2025-07-19,113.37,116.47,109.45,116.47,35.422
2025-07-20,111.13,120.59,110.96,117.58,17.257
2025-07-21,118.6,126.49,115.27,123.95,26.143
2025-07-22,126.49,135.0,126.43,134.0,122.735
2025-07-23,134.97,138.42,117.38,117.38,74.047
2025-07-24,123.94,125.0,115.0,122.07,16.984
2025-07-25,122.22,122.74,117.18,117.18,13.465
2025-07-26,123.34,123.65,121.88,123.65,4.306
2025-07-27,123.2,130.45,100.0,129.27,95.976
2025-07-28,131.52,134.28,121.19,121.19,17.684
2025-07-29,121.33,126.07,100.0,118.76,56.225
2025-07-30,122.39,124.27,113.95,116.83,5.915
2025-07-31,121.88,123.63,115.72,119.18,20.072
2025-08-01,117.87,117.99,109.0,111.43,6.96
2025-08-02,110.98,113.12,107.17,108.28,32.989
2025-08-03,107.33,115.16,105.65,107.58,4.411
2025-08-04,115.28,115.7,106.88,108.62,11.863
2025-08-05,113.28,113.28,103.77,105.22,67.223
2025-08-06,108.23,109.75,103.77,107.04,6.836
2025-08-07,109.74,115.43,106.02,115.32,39.066
2025-08-08,115.44,116.45,108.62,116.37,28.95
2025-08-09,116.45,116.91,112.56,116.36,6.431
2025-08-10,116.94,116.98,111.2,111.2,2.705
2025-08-11,116.4,117.14,109.4,109.4,24.848
2025-08-12,114.91,115.32,107.76,115.26,18.204
2025-08-13,115.38,118.61,112.96,113.0,10.665
2025-08-14,118.07,118.16,107.48,111.0,12.716
2025-08-15,111.0,115.08,105.0,107.51,52.588
