timestamp,open,high,low,close,volume
2025-03-28,11.11,11.25,10.13,10.31,2416.176
2025-03-29,10.37,10.39,9.87,10.1,840.101
2025-03-30,10.02,10.34,10.02,10.18,1741.164
2025-03-31,10.09,10.3,9.88,10.02,760.708
2025-04-01,10.02,10.43,9.98,10.41,1375.118
2025-04-02,10.38,10.58,9.01,9.2,3218.144
2025-04-03,9.27,9.47,8.76,9.46,1102.378
2025-04-04,9.43,9.61,9.15,9.34,1058.051
2025-04-05,9.34,9.43,9.1,9.19,263.066
2025-04-06,9.22,9.25,7.8,7.94,991.836
2025-04-07,7.79,8.23,7.21,7.85,710.198
2025-04-08,7.84,8.02,7.47,7.52,974.41
2025-04-09,7.52,8.37,7.24,8.21,555.552
2025-04-10,8.21,8.22,7.69,7.9,1180.153
2025-04-11,7.91,8.16,7.9,8.06,464.681
2025-04-12,8.05,8.76,7.98,8.67,1797.486
2025-04-13,8.69,8.76,8.04,8.27,1878.938
2025-04-14,8.29,8.48,7.85,7.86,1279.923
2025-04-15,7.9,8.2,7.8,7.82,403.961
2025-04-16,7.79,8.08,7.68,7.73,1232.918
2025-04-17,7.71,8.12,7.45,7.52,1492.006
2025-04-18,7.54,7.85,7.49,7.82,785.376
2025-04-19,7.74,8.69,7.74,8.41,4111.351
2025-04-20,8.47,8.6,8.05,8.16,2681.671
2025-04-21,8.17,8.5,8.16,8.28,1865.144
2025-04-22,8.19,9.25,8.19,9.19,4109.899
2025-04-23,9.2,15.74,9.15,13.28,35784.755
2025-04-24,13.45,13.49,11.6,12.2,6049.436
2025-04-25,12.11,14.35,11.8,13.36,10579.671
2025-04-26,13.36,16.41,13.36,15.64,9132.549
2025-04-27,15.64,16.68,14.33,14.87,7723.4
2025-04-28,14.75,15.57,14.13,14.6,4956.916
2025-04-29,14.71,14.85,12.75,13.07,4603.616
2025-04-30,13.0,14.39,12.05,13.2,4694.538
2025-05-01,13.13,13.47,12.63,12.66,8474.093
2025-05-02,12.75,13.31,12.37,13.31,5589.949
2025-05-03,13.08,13.15,11.0,11.28,6527.167
2025-05-04,11.39,11.45,10.85,11.03,3987.203
2025-05-05,10.93,11.55,10.8,11.28,1696.711
2025-05-06,11.17,11.23,10.45,11.05,3280.43
2025-05-07,11.07,11.24,10.68,11.03,2557.763
2025-05-08,11.07,12.75,11.07,12.55,16815.96
2025-05-09,12.58,14.89,12.43,14.26,12222.478
2025-05-10,14.28,15.22,13.75,14.96,7705.268
2025-05-11,14.88,15.21,13.35,13.77,4764.481
2025-05-12,13.83,14.7,12.44,13.12,13307.956
2025-05-13,13.0,13.84,12.32,13.84,12938.224
2025-05-14,13.7,13.96,12.98,13.43,6871.915
2025-05-15,13.44,13.54,12.36,12.81,9113.987
2025-05-16,12.82,13.09,12.5,12.69,883.312
2025-05-17,12.57,13.24,12.23,12.63,7925.988
2025-05-18,12.65,13.55,12.65,13.29,9227.179
2025-05-19,13.31,13.32,12.39,12.9,3024.206
2025-05-20,12.88,14.6,12.75,14.41,10014.428
2025-05-21,14.43,15.15,13.88,14.41,10592.634
2025-05-22,14.44,15.93,13.97,14.74,17477.869
2025-05-23,14.69,14.69,12.46,12.55,11896.628
2025-05-24,12.56,13.09,12.56,12.97,5021.899
2025-05-25,12.84,12.88,12.18,12.8,4221.989
2025-05-26,12.83,13.24,12.57,12.69,2611.472
2025-05-27,12.68,13.03,12.37,12.73,1536.191
2025-05-28,12.73,12.87,12.07,12.47,2761.857
2025-05-29,12.47,12.72,11.86,11.9,1439.299
2025-05-30,11.87,11.94,10.68,10.87,1907.809
2025-05-31,10.78,11.39,10.44,11.23,2480.196
2025-06-01,11.25,11.41,10.96,11.35,803.06
2025-06-02,11.36,11.41,11.04,11.28,859.068
2025-06-03,11.28,11.87,11.1,11.18,1376.368
2025-06-04,11.22,11.23,10.75,10.83,1013.45
2025-06-05,10.81,10.98,9.37,9.74,4592.527
2025-06-06,9.8,10.84,9.65,10.11,3400.767
2025-06-07,10.07,10.56,10.02,10.36,722.288
2025-06-08,10.34,10.53,10.2,10.43,1513.32
2025-06-09,10.4,10.86,10.27,10.86,2463.666
2025-06-10,10.86,11.01,10.61,10.94,2336.048
2025-06-11,10.9,11.12,10.55,10.7,1641.867
2025-06-12,10.6,10.66,9.91,10.16,1987.0
2025-06-13,10.03,10.26,9.69,10.2,1420.408
2025-06-14,10.16,10.69,9.88,10.04,582.523
2025-06-15,10.02,10.09,9.87,9.99,1611.45
2025-06-16,9.9,10.16,9.65,9.65,2109.391
2025-06-17,9.64,9.81,9.35,9.51,981.46
2025-06-18,9.55,9.59,9.16,9.37,237.167
2025-06-19,9.39,9.43,9.23,9.34,256.455
2025-06-20,9.3,9.44,8.92,9.16,1418.909
2025-06-21,9.18,9.36,8.59,8.93,934.669
2025-06-22,8.98,9.03,8.32,8.74,1976.092
2025-06-23,8.7,9.32,8.53,9.26,2136.584
2025-06-24,9.23,9.46,9.16,9.27,1124.268
2025-06-25,9.26,9.3,8.92,8.93,674.336
2025-06-26,8.98,9.07,8.79,9.0,727.98
2025-06-27,9.0,9.03,8.86,9.0,123.218
2025-06-28,9.0,9.14,8.96,9.14,1618.001
2025-06-29,9.09,9.27,9.01,9.26,97.498
2025-06-30,9.14,9.14,8.84,8.87,284.989
2025-07-01,8.87,9.0,8.53,8.59,7391.657
2025-07-02,8.58,8.97,8.53,8.81,5686.675
2025-07-03,8.84,9.03,8.84,8.92,303.744
2025-07-04,8.89,8.9,8.47,8.52,3366.211
2025-07-05,8.59,8.63,8.44,8.53,1271.99
2025-07-06,8.51,8.71,8.49,8.65,572.558
2025-07-07,8.68,8.69,8.53,8.57,583.58
2025-07-08,8.61,8.65,8.47,8.6,299.658
2025-07-09,8.63,9.09,8.58,9.08,4995.42
2025-07-10,9.08,9.85,8.99,9.77,3492.158
2025-07-11,9.82,10.4,9.68,9.94,6107.9
2025-07-12,9.81,9.95,9.38,9.56,2955.684
2025-07-13,9.58,9.87,9.5,9.5,2308.7
2025-07-14,9.48,9.92,9.26,9.41,2329.878
2025-07-15,9.41,9.48,9.02,9.48,874.452
2025-07-16,9.45,10.41,9.36,9.87,7217.28
2025-07-17,9.89,10.24,9.61,10.09,8895.199
2025-07-18,9.97,10.93,9.79,9.98,6903.439
2025-07-19,10.02,10.21,9.75,10.17,1424.594
2025-07-20,10.15,10.89,10.11,10.87,7290.972
2025-07-21,10.73,11.85,10.46,11.25,16263.179
2025-07-22,11.18,11.34,10.57,11.15,5936.594
2025-07-23,11.05,11.11,9.82,10.17,4742.658
2025-07-24,10.18,10.24,9.55,9.95,1247.187
2025-07-25,9.94,10.11,9.66,10.11,1039.346
2025-07-26,10.09,10.26,10.01,10.12,681.143
2025-07-27,10.23,10.4,10.04,10.4,324.279
2025-07-28,10.28,10.49,9.68,9.7,2270.486
2025-07-29,9.78,9.81,9.31,9.48,4415.901
2025-07-30,9.48,9.51,8.95,9.32,1518.259
2025-07-31,9.34,9.45,8.93,8.93,1120.287
2025-08-01,8.95,8.95,8.52,8.73,1917.94
2025-08-02,8.72,8.82,8.44,8.64,1413.26
2025-08-03,8.65,8.85,8.64,8.82,211.225
2025-08-04,8.86,9.03,8.82,9.03,1937.233
2025-08-05,9.0,9.01,8.56,8.68,1695.127
2025-08-06,8.64,8.88,8.6,8.82,1037.867
2025-08-07,8.83,9.24,8.82,9.24,2944.281
2025-08-08,9.2,9.44,9.12,9.42,1091.191
2025-08-09,9.45,9.65,9.39,9.5,827.19
2025-08-10,9.54,9.69,9.17,9.26,2919.254
2025-08-11,9.26,9.51,8.73,8.82,1798.367
2025-08-12,8.83,9.36,8.72,9.19,19324.891
2025-08-13,9.24,9.71,9.1,9.65,5654.847
2025-08-14,9.67,10.2,8.75,9.08,8622.17
2025-08-15,9.08,9.61,8.85,9.21,6465.492
2025-08-16,9.27,9.27,9.04,9.11,303.221
2025-08-17,9.1,9.52,9.08,9.25,3020.338
2025-08-18,9.22,9.22,8.9,9.09,4091.385
2025-08-19,9.06,9.11,8.64,8.64,1535.599
2025-08-20,8.64,8.92,8.58,8.91,257.629
2025-08-21,8.86,8.93,8.31,8.41,465.153
2025-08-22,8.46,9.0,8.23,9.0,3576.509
2025-08-23,8.95,8.99,8.72,8.9,2801.562
2025-08-24,8.9,8.93,8.55,8.7,866.215
2025-08-25,8.66,8.76,8.02,8.18,2269.49
2025-08-26,8.17,8.5,8.17,8.46,1545.191
2025-08-27,8.43,8.49,8.39,8.42,704.526
2025-08-28,8.37,8.67,8.37,8.5,2911.667
2025-08-29,8.56,8.56,8.25,8.35,803.304
2025-08-30,8.31,8.41,8.31,8.36,313.703
2025-08-31,8.36,8.91,8.35,8.59,2018.789
2025-09-01,8.57,9.21,8.22,8.28,4410.981
2025-09-02,8.33,8.45,8.27,8.36,287.808
2025-09-03,8.4,8.46,8.39,8.44,108.505
2025-09-04,8.43,8.43,8.18,8.26,3053.524
2025-09-05,8.29,8.45,8.27,8.33,45.412
2025-09-06,8.35,8.38,8.28,8.32,15.052
2025-09-07,8.42,8.49,8.42,8.49,1168.536
2025-09-08,8.48,8.66,8.44,8.59,774.838
2025-09-09,8.61,8.86,8.59,8.66,1510.47
2025-09-10,8.69,8.89,8.69,8.79,1605.298
2025-09-11,8.85,8.85,8.67,8.75,408.089
2025-09-12,8.82,9.01,8.81,8.98,1450.828
2025-09-13,8.95,9.51,8.93,9.22,1388.561
2025-09-14,9.13,9.13,8.62,8.75,1133.771
2025-09-15,8.74,8.81,8.41,8.48,1031.467
2025-09-16,8.52,8.64,8.48,8.61,188.834
2025-09-17,8.63,8.73,8.49,8.68,635.241
2025-09-18,8.69,8.86,8.63,8.66,499.079
2025-09-19,8.69,8.69,8.36,8.36,489.447
2025-09-20,8.4,8.48,8.4,8.48,32.584
2025-09-21,8.47,8.47,8.35,8.41,1618.865
2025-09-22,8.28,8.32,6.67,7.63,5427.025
2025-09-23,7.65,7.72,7.55,7.63,2023.677
2025-09-24,7.67,7.74,7.54,7.68,1539.991
2025-09-25,7.71,7.71,7.37,7.48,1710.739
2025-09-26,7.46,7.59,7.43,7.57,55.403
2025-09-27,7.57,7.62,7.5,7.58,382.899
2025-09-28,7.51,7.67,7.42,7.64,502.306
2025-09-29,7.65,7.66,7.51,7.61,162.153
