timestamp,open,high,low,close,volume
2025-03-28,37.28,37.93,35.32,36.55,44.119
2025-03-29,36.8,37.04,34.95,34.95,42.454
2025-03-30,35.12,37.46,34.95,36.93,18.958
2025-03-31,37.46,38.85,36.58,38.85,46.127
2025-04-01,39.03,42.0,38.54,40.62,23.243
2025-04-02,40.59,41.35,38.91,38.91,8.41
2025-04-03,38.73,40.9,37.64,39.1,109.055
2025-04-04,39.04,40.36,38.41,39.47,12.976
2025-04-05,39.38,40.9,37.1,37.75,130.975
2025-04-06,38.06,38.64,36.75,36.93,61.111
2025-04-07,36.87,40.06,28.25,32.5,206.545
2025-04-08,35.96,37.21,27.01,36.55,85.477
2025-04-09,36.55,38.48,34.51,38.12,138.336
2025-04-10,37.64,38.3,33.71,36.55,28.885
2025-04-11,36.56,38.06,32.01,37.2,310.38
2025-04-12,36.58,36.85,32.01,35.11,1059.927
2025-04-13,35.11,37.21,32.0,32.0,94.407
2025-04-14,32.0,36.55,29.34,29.34,236.525
2025-04-15,32.05,32.1,28.26,32.1,612.055
2025-04-16,31.57,34.98,28.27,28.39,538.555
2025-04-17,32.7,34.89,27.01,28.15,65.024
2025-04-18,28.09,34.89,28.09,28.15,20.443
2025-04-19,34.7,34.7,28.1,32.0,35.784
2025-04-20,32.0,32.0,28.57,31.66,334.06
2025-04-21,28.88,34.48,28.86,33.4,37.497
2025-04-22,33.4,33.41,29.01,33.03,22.949
2025-04-23,33.03,34.9,29.67,34.64,31.739
2025-04-24,33.03,34.64,31.44,33.14,8.694
2025-04-25,33.04,34.9,31.43,31.54,23.584
2025-04-26,33.03,34.9,31.56,34.23,51.516
2025-04-27,33.03,34.89,33.03,33.03,60.621
2025-04-28,33.03,37.75,31.42,36.27,77.408
2025-04-29,35.97,36.72,31.0,35.95,40.754
2025-04-30,34.71,35.96,32.95,33.07,15.908
2025-05-01,33.03,36.97,32.97,35.99,93.691
2025-05-02,36.04,37.31,33.46,37.23,43.286
2025-05-03,36.57,37.22,33.27,37.0,15.254
2025-05-04,36.27,36.27,33.34,33.59,41.008
2025-05-05,33.4,35.96,33.34,33.84,28.25
2025-05-06,35.96,37.41,33.39,37.41,6.724
2025-05-07,36.57,41.32,36.31,41.32,26.93
2025-05-08,40.59,41.36,39.72,41.32,53.596
2025-05-09,40.59,42.16,39.7,40.72,20.246
2025-05-10,40.71,42.84,40.7,42.84,23.06
2025-05-11,41.83,44.2,40.59,44.2,6.999
2025-05-12,44.23,44.94,41.38,43.9,16.919
2025-05-13,43.14,44.19,40.36,44.19,39.975
2025-05-14,43.85,44.7,41.73,41.73,3.139
2025-05-15,41.41,42.9,37.94,42.16,23.55
2025-05-16,41.41,42.05,40.89,41.12,16.807
2025-05-17,41.04,41.99,40.59,41.63,3.646
2025-05-18,40.7,41.62,39.23,40.78,16.691
2025-05-19,40.78,42.1,38.63,39.65,10.728
2025-05-20,40.06,40.94,40.06,40.94,0.769
2025-05-21,41.01,41.74,39.77,41.36,32.118
2025-05-22,40.79,49.53,38.79,49.53,100.862
2025-05-23,48.85,51.52,47.78,47.78,37.938
2025-05-24,47.68,49.42,45.36,49.04,9.871
2025-05-25,48.05,54.37,48.05,53.66,57.413
2025-05-26,53.66,55.52,51.35,53.74,79.734
2025-05-27,53.9,55.89,51.4,51.4,13.433
2025-05-28,51.4,53.93,50.4,53.48,29.545
2025-05-29,52.82,55.73,52.21,53.45,15.463
2025-05-30,53.27,54.08,47.65,47.65,30.207
2025-05-31,47.26,50.59,45.8,50.59,4.254
2025-06-01,50.2,53.04,48.17,53.04,47.333
2025-06-02,52.4,54.23,52.2,53.24,10.218
2025-06-03,53.24,55.89,52.63,54.09,16.657
2025-06-04,54.08,54.93,50.15,50.15,20.033
2025-06-05,50.08,50.79,47.68,47.68,9.427
2025-06-06,47.65,49.64,46.73,48.06,6.514
2025-06-07,47.26,50.05,45.48,49.23,10.336
2025-06-08,49.23,51.01,48.45,48.45,13.252
2025-06-09,48.45,51.46,47.68,51.46,52.024
2025-06-10,51.56,52.61,50.15,51.64,12.409
2025-06-11,51.4,51.6,49.16,50.53,5.321
2025-06-12,49.64,51.05,48.05,48.45,10.023
2025-06-13,48.17,51.19,43.36,44.78,34.088
2025-06-14,43.99,45.55,43.55,43.55,99.488
2025-06-15,43.55,45.24,42.79,42.79,20.418
2025-06-16,43.9,45.7,43.55,43.55,4.93
2025-06-17,43.12,43.9,41.19,41.19,21.25
2025-06-18,41.62,44.33,40.81,42.26,18.792
2025-06-19,43.02,43.02,40.59,40.59,12.186
2025-06-20,41.32,41.74,39.21,39.24,10.718
2025-06-21,40.09,41.32,38.81,38.81,10.338
2025-06-22,40.09,40.9,34.79,36.17,17.766
2025-06-23,39.95,41.32,37.19,41.32,29.477
2025-06-24,41.47,42.5,39.78,42.5,107.123
2025-06-25,42.58,43.45,40.59,40.59,1.527
2025-06-26,41.74,42.16,39.1,39.38,12.955
2025-06-27,40.09,40.5,38.72,40.09,1.016
2025-06-28,40.09,40.09,36.16,37.52,5.957
2025-06-29,40.09,41.2,39.38,39.38,1.618
2025-06-30,40.5,40.5,36.96,36.96,6.977
2025-07-01,38.88,40.09,34.99,35.04,17.266
2025-07-02,37.83,39.67,34.95,38.6,98.472
2025-07-03,39.26,40.49,36.38,40.49,24.318
2025-07-04,40.5,42.33,39.38,41.32,17.54
2025-07-05,39.83,41.61,38.1,38.1,17.467
2025-07-06,39.02,39.54,36.52,39.53,12.729
2025-07-07,38.5,40.11,36.59,38.39,13.017
2025-07-08,37.45,43.28,37.35,43.28,18.491
2025-07-09,43.45,45.39,37.79,40.72,157.198
2025-07-10,41.32,42.41,40.29,40.85,20.642
2025-07-11,40.84,44.13,39.79,41.83,119.347
2025-07-12,41.44,44.21,40.61,41.93,8.217
2025-07-13,42.16,43.45,41.29,42.58,4.319
2025-07-14,43.02,44.33,41.59,42.16,29.085
2025-07-15,43.02,44.33,42.11,43.45,3.671
2025-07-16,42.68,44.99,41.69,43.88,122.031
2025-07-17,43.88,45.7,42.03,45.7,143.016
2025-07-18,45.85,47.53,42.85,43.89,145.73
